Cbench started.
Measure Mode: wall_time
Thread ID: 14768500
Fiber ID: 17741700
Total: 131.953840
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.126     0.016     0.000     0.110     5660  *Array#each
  0.01      0.586     0.013     0.001     0.571      604  *Kernel#require
  0.01      0.060     0.013     0.000     0.046      436  *Module#module_eval
  0.01      0.010     0.010     0.000     0.000     3100   Symbol#to_s
  0.01      0.009     0.009     0.000     0.000     6356   Symbol#to_sym
  0.01      0.168     0.009     0.000     0.159     5366  *Class#new
  0.00      0.005     0.005     0.000     0.000      624   IO#set_encoding
  0.00      0.005     0.005     0.000     0.000     1804   String#gsub
  0.00      0.006     0.005     0.000     0.001      149   Module#class_eval
  0.00      0.012     0.005     0.000     0.007     2566   Kernel#dup
  0.00      0.016     0.005     0.000     0.011     1516   Array#map
  0.00      0.004     0.004     0.000     0.000      971   String#sub
  0.00      0.004     0.004     0.000     0.000     6858   Kernel#nil?
  0.00      0.004     0.004     0.000     0.000     2936   Module#method_added
  0.00      0.004     0.004     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.004     0.004     0.000     0.000      292   Kernel#define_singleton_method
  0.00      0.004     0.004     0.000     0.000     1586   Regexp#=~
  0.00      0.008     0.004     0.000     0.004     1705  *Hash#each
  0.00      0.020     0.004     0.000     0.016      857   BinData::Registry#underscore_name
  0.00      0.011     0.004     0.000     0.007     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.006     0.003     0.000     0.003     2634   Kernel#initialize_dup
  0.00      0.003     0.003     0.000     0.000     5412   Kernel#hash
  0.00      0.003     0.003     0.000     0.000     4458   Array#include?
  0.00      0.003     0.003     0.000     0.000      183   BinData::SanitizedFields#initialize
  0.00      0.190     0.003     0.000     0.187     1002  *BinData::DSLMixin#method_missing
  0.00      0.008     0.003     0.000     0.005     2281  *BinData::DSLMixin::DSLParser#endian
  0.00      0.008     0.003     0.000     0.005     1723  *BinData::DSLMixin#dsl_parser
  0.00      0.003     0.003     0.000     0.000      901   String#downcase
  0.00      0.009     0.003     0.000     0.007     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.003     0.003     0.000     0.000     1939   Array#sort
  0.00      0.003     0.003     0.000     0.000     3196   BasicObject#!
  0.00      0.013     0.003     0.000     0.010     1812  *BinData::DSLMixin::DSLParser#fields
  0.00      0.002     0.002     0.000     0.000     3539   Kernel#is_a?
  0.00      0.095     0.002     0.000     0.093      638  *BinData::SanitizedPrototype#initialize
  0.00      0.005     0.002     0.000     0.002      953  *<Class::BinData::Base>#arg_processor
  0.00      0.002     0.002     0.000     0.000     3405   Gem::Dependency#type
  0.00      0.056     0.002     0.000     0.054      771  *BinData::SanitizedParameters#sanitize!
  0.00      0.002     0.002     0.000     0.000     1725   Hash#[]=
  0.00      0.010     0.002     0.000     0.007      519   Enumerable#sort_by
  0.00      0.060     0.002     0.000     0.058      771  *BinData::SanitizedParameters#initialize
  0.00      0.044     0.002     0.000     0.042      628   BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.00      0.002     0.002     0.000     0.000     6019   Hash#[]
  0.00      0.007     0.002     0.000     0.005     2461   BinData::SanitizedField#name_as_sym
  0.00    131.848     0.002     0.000   131.846        2  *Kernel#load
  0.00      0.002     0.002     0.000     0.000     2901   Kernel#respond_to?
  0.00      0.002     0.002     0.000     0.000     3141   String#hash
  0.00      0.002     0.002     0.000     0.000     4859   Module#===
  0.00      0.002     0.002     0.000     0.000     1510   String#to_s
  0.00      0.008     0.002     0.000     0.006     1531   Gem::Version#version
  0.00      0.011     0.002     0.000     0.009     2510   BinData::DSLMixin::DSLFieldValidator#option?
  0.00      0.012     0.002     0.000     0.010     1073   Gem::Dependency#hash
  0.00      0.014     0.002     0.000     0.012      569   Enumerable#detect
  0.00      0.002     0.002     0.000     0.001     1670   Hash#include?
  0.00      0.002     0.002     0.000     0.000     1029   Array#join
  0.00      0.020     0.002     0.000     0.018        4   Bundler::SpecSet#for
  0.00      0.058     0.002     0.000     0.057      628   BinData::DSLMixin::DSLFieldValidator#validate_field
  0.00      0.002     0.002     0.000     0.000      840   Module#method_defined?
  0.00      0.015     0.002     0.000     0.013      812   Hash#each_pair
  0.00      0.002     0.002     0.000     0.000     1574   String#initialize_copy
  0.00      0.002     0.002     0.000     0.001      628   BinData::DSLMixin::DSLFieldParser#name_from_field_declaration
  0.00      0.006     0.002     0.000     0.004      783   BinData::AcceptedParametersPlugin#mandatory_parameters
  0.00      0.023     0.002     0.000     0.022      274   Forwardable#def_instance_delegator
  0.00      0.174     0.002     0.000     0.173      628  *BinData::DSLMixin::DSLParser#parse_and_append_field
  0.00      0.002     0.002     0.000     0.000     3229   Array#at
  0.00      0.010     0.002     0.000     0.008      773   BinData::AcceptedParametersPlugin#default_parameters
  0.00      0.007     0.002     0.000     0.005     2825  *Array#hash
  0.00      0.002     0.002     0.000     0.000     1605   NilClass#nil?
  0.00      0.001     0.001     0.000     0.000     1658   Class#superclass
  0.00      0.025     0.001     0.000     0.023      628  *BinData::DSLMixin::DSLFieldParser#initialize
  0.00      0.001     0.001     0.000     0.000      857   String#tr
  0.00      0.005     0.001     0.000     0.003      665  *BinData::DSLMixin::DSLParser#parent_attribute
  0.00      0.178     0.001     0.000     0.176      628  *BinData::DSLMixin::DSLParser#method_missing
  0.00      0.102     0.001     0.000     0.100      628   BinData::SanitizedFields#add_field
  0.00      0.003     0.001     0.000     0.002      938   BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.00      0.013     0.001     0.000     0.011      771   BinData::SanitizedParameters#merge_default_parameters!
  0.00      0.001     0.001     0.000     0.000      481   Array#concat
  0.00      0.005     0.001     0.000     0.004      483   Array#collect
  0.00      0.001     0.001     0.000     0.000     5312   Symbol#==
  0.00      0.028     0.001     0.000     0.027      638   BinData::Registry#normalize_name
  0.00      0.001     0.001     0.000     0.000      534   Regexp#===
  0.00      0.008     0.001     0.000     0.007      771   BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.00      0.001     0.001     0.000     0.000     1229   Kernel#class
  0.00      0.001     0.001     0.000     0.000     2097   Gem::Dependency#requirement
  0.00      0.001     0.001     0.000     0.000     6690   String#<=>
  0.00      0.001     0.001     0.000     0.000      928   BinData::AcceptedParametersPlugin::AcceptedParameters#default
  0.00      0.001     0.001     0.000     0.000       63   Module#attr_accessor
  0.00      0.005     0.001     0.000     0.004      771   BinData::SanitizedParameters#ensure_mutual_exclusion_of_parameters
  0.00      0.001     0.001     0.000     0.000      998   Array#shift
  0.00      0.009     0.001     0.000     0.008      216   BinData::Registry#register
  0.00      0.001     0.001     0.000     0.000     1671   Hash#has_key?
