%self      total      self      wait     child     calls  name
 2.35      9.089     3.030     0.000     6.058   338270  *BinData::BasePrimitive#_value
 2.17      4.283     2.798     0.000     1.484   179579   Kernel#initialize_clone
 2.13     31.279     2.745     0.000    28.534   173907   BinData::Base#new
 2.04      2.696     2.626     0.000     0.070   557334   Kernel#respond_to?
 1.93      6.959     2.487     0.000     4.472   179579   Kernel#clone
 1.88      7.428     2.423     0.000     5.005   290065  *BinData::BasePrimitive#snapshot
 1.82     28.611     2.351     0.000    26.260   154051   BinData::Struct#instantiate_obj_at
 1.82      2.346     2.346     0.000     0.000   186044   BasicObject#!
 1.61      2.232     2.072     0.000     0.160   217460   BinData::Base#get_parameter
 1.60      3.020     2.066     0.000     0.953   223863   Kernel#define_singleton_method
